"DATE","tenor","rate"
1977-02-01,"GS1",5.47
1977-03-01,"GS1",5.5
1977-04-01,"GS1",5.44
1977-05-01,"GS1",5.84
1977-06-01,"GS1",5.8
1977-07-01,"GS1",5.94
1977-08-01,"GS1",6.37
1977-09-01,"GS1",6.53
1977-10-01,"GS1",6.97
1977-11-01,"GS1",6.95
1977-12-01,"GS1",6.96
1978-01-01,"GS1",7.28
1978-02-01,"GS1",7.34
1978-03-01,"GS1",7.31
1978-04-01,"GS1",7.45
1978-05-01,"GS1",7.82
1978-06-01,"GS1",8.09
1978-07-01,"GS1",8.39
1978-08-01,"GS1",8.31
1978-09-01,"GS1",8.64
1978-10-01,"GS1",9.14
1978-11-01,"GS1",10.01
1978-12-01,"GS1",10.3
1979-01-01,"GS1",10.41
1979-02-01,"GS1",10.24
1979-03-01,"GS1",10.25
1979-04-01,"GS1",10.12
1979-05-01,"GS1",10.12
1979-06-01,"GS1",9.57
1979-07-01,"GS1",9.64
1979-08-01,"GS1",9.98
1979-09-01,"GS1",10.84
1979-10-01,"GS1",12.44
1979-11-01,"GS1",12.39
1979-12-01,"GS1",11.98
1980-01-01,"GS1",12.06
1980-02-01,"GS1",13.92
1980-03-01,"GS1",15.82
1980-04-01,"GS1",13.3
1980-05-01,"GS1",9.39
1980-06-01,"GS1",8.16
1980-07-01,"GS1",8.65
1980-08-01,"GS1",10.24
1980-09-01,"GS1",11.52
1980-10-01,"GS1",12.49
1980-11-01,"GS1",14.15
1980-12-01,"GS1",14.88
1981-01-01,"GS1",14.08
1981-02-01,"GS1",14.57
1981-03-01,"GS1",13.71
1981-04-01,"GS1",14.32
1981-05-01,"GS1",16.2
1981-06-01,"GS1",14.86
1981-07-01,"GS1",15.72
1981-08-01,"GS1",16.72
1981-09-01,"GS1",16.52
1981-10-01,"GS1",15.38
1981-11-01,"GS1",12.41
1981-12-01,"GS1",12.85
1982-01-01,"GS1",14.32
1982-02-01,"GS1",14.73
1982-03-01,"GS1",13.95
1982-04-01,"GS1",13.98
1982-05-01,"GS1",13.34
1982-06-01,"GS1",14.07
1982-07-01,"GS1",13.24
1982-08-01,"GS1",11.43
1982-09-01,"GS1",10.85
1982-10-01,"GS1",9.32
1982-11-01,"GS1",9.16
1982-12-01,"GS1",8.91
1983-01-01,"GS1",8.62
1983-02-01,"GS1",8.92
1983-03-01,"GS1",9.04
1983-04-01,"GS1",8.98
1983-05-01,"GS1",8.9
1983-06-01,"GS1",9.66
1983-07-01,"GS1",10.2
1983-08-01,"GS1",10.53
1983-09-01,"GS1",10.16
1983-10-01,"GS1",9.81
1983-11-01,"GS1",9.94
1983-12-01,"GS1",10.11
