tenor,rate
GS3,6.44
GS3,6.47
GS3,6.31
GS3,6.55
GS3,6.39
GS3,6.51
GS3,6.79
GS3,6.84
GS3,7.19
GS3,7.22
GS3,7.3
GS3,7.61
GS3,7.67
GS3,7.7
GS3,7.85
GS3,8.07
GS3,8.3
GS3,8.54
GS3,8.33
GS3,8.41
GS3,8.62
GS3,9.04
GS3,9.33
GS3,9.5
GS3,9.29
GS3,9.38
GS3,9.43
GS3,9.42
GS3,8.95
GS3,8.94
GS3,9.14
GS3,9.69
GS3,10.95
GS3,11.18
GS3,10.71
GS3,10.88
GS3,12.84
GS3,14.05
GS3,12.02
GS3,9.44
GS3,8.91
GS3,9.27
GS3,10.63
GS3,11.57
GS3,12.01
GS3,13.31
GS3,13.65
GS3,13.01
GS3,13.65
GS3,13.51
GS3,14.09
GS3,15.08
GS3,14.29
GS3,15.15
GS3,16
GS3,16.22
GS3,15.5
GS3,13.11
GS3,13.66
GS3,14.64
GS3,14.73
GS3,14.13
GS3,14.18
GS3,13.77
GS3,14.48
GS3,14
GS3,12.62
GS3,12.03
GS3,10.62
GS3,9.98
GS3,9.88
GS3,9.64
GS3,9.91
GS3,9.84
GS3,9.76
GS3,9.66
GS3,10.32
GS3,10.9
GS3,11.3
GS3,11.07
GS3,10.87
GS3,10.96
GS3,11.13
GS3,10.93
GS3,11.05
GS3,11.59
GS3,11.98
GS3,12.75
GS3,13.18
GS3,13.08
GS3,12.5
GS3,12.34
GS3,11.85
GS3,10.9
GS3,10.56
GS3,10.43
GS3,10.55
GS3,11.05
GS3,10.49
GS3,9.75
GS3,9.05
GS3,9.18
GS3,9.31
GS3,9.37
GS3,9.25
GS3,8.88
GS3,8.4
GS3,8.41
GS3,8.1
GS3,7.3
GS3,6.86
GS3,7.27
GS3,7.41
GS3,6.86
GS3,6.49
GS3,6.62
GS3,6.56
GS3,6.46
GS3,6.43
GS3,6.41
GS3,6.56
GS3,6.58
GS3,7.32
GS3,8.02
GS3,7.82
GS3,7.74
GS3,8.03
GS3,8.67
GS3,8.75
GS3,7.99
GS3,8.13
GS3,7.87
GS3,7.38
GS3,7.5
GS3,7.83
GS3,8.24
GS3,8.22
GS3,8.44
GS3,8.77
GS3,8.57
GS3,8.43
GS3,8.72
GS3,9.11
GS3,9.2
GS3,9.32
GS3,9.61
GS3,9.4
GS3,8.98
GS3,8.37
GS3,7.83
GS3,8.13
GS3,8.26
GS3,8.02
GS3,7.8
GS3,7.77
GS3,8.13
GS3,8.39
GS3,8.63
GS3,8.78
GS3,8.69
GS3,8.4
GS3,8.26
GS3,8.22
GS3,8.27
GS3,8.07
GS3,7.74
GS3,7.47
GS3,7.38
GS3,7.08
GS3,7.35
GS3,7.23
GS3,7.12
GS3,7.39
GS3,7.38
GS3,6.8
GS3,6.5
GS3,6.23
GS3,5.9
GS3,5.39
GS3,5.4
GS3,5.72
GS3,6.18
GS3,5.93
GS3,5.81
GS3,5.6
GS3,4.91
GS3,4.72
GS3,4.42
GS3,4.64
GS3,5.14
GS3,5.21
GS3,4.93
GS3,4.58
GS3,4.4
GS3,4.3
GS3,4.4
GS3,4.53
GS3,4.43
GS3,4.36
GS3,4.17
GS3,4.18
GS3,4.5
GS3,4.54
GS3,4.48
GS3,4.83
GS3,5.4
GS3,5.99
GS3,6.34
GS3,6.27
GS3,6.48
GS3,6.5
GS3,6.69
GS3,7.04
GS3,7.44
GS3,7.71
GS3,7.66
GS3,7.25
GS3,6.89
GS3,6.68
GS3,6.27
GS3,5.8
GS3,5.89
GS3,6.1
GS3,5.89
GS3,5.77
GS3,5.57
GS3,5.39
GS3,5.2
GS3,5.14
GS3,5.79
GS3,6.11
GS3,6.27
GS3,6.49
GS3,6.45
GS3,6.21
GS3,6.41
GS3,6.08
GS3,5.82
GS3,5.91
GS3,6.16
GS3,6.03
GS3,6.38
GS3,6.61
GS3,6.42
GS3,6.24
GS3,6
GS3,6.06
GS3,5.98
GS3,5.84
GS3,5.76
GS3,5.74
GS3,5.38
GS3,5.43
GS3,5.57
GS3,5.58
GS3,5.61
GS3,5.52
GS3,5.47
GS3,5.24
GS3,4.62
GS3,4.18
GS3,4.57
GS3,4.48
GS3,4.61
GS3,4.9
GS3,5.11
GS3,5.03
GS3,5.33
GS3,5.7
GS3,5.62
GS3,5.77
GS3,5.75
GS3,5.94
GS3,5.92
GS3,6.14
GS3,6.49
GS3,6.65
GS3,6.53
GS3,6.36
GS3,6.77
GS3,6.43
GS3,6.28
GS3,6.17
GS3,6.02
GS3,5.85
GS3,5.79
GS3,5.26
GS3,4.77
GS3,4.71
GS3,4.43
GS3,4.42
GS3,4.51
GS3,4.35
GS3,4.31
GS3,4.04
GS3,3.45
GS3,3.14
GS3,3.22
GS3,3.62
GS3,3.56
GS3,3.55
GS3,4.14
GS3,4.01
GS3,3.8
GS3,3.49
GS3,3.01
GS3,2.52
GS3,2.32
GS3,2.25
GS3,2.32
GS3,2.23
GS3,2.18
GS3,2.05
GS3,1.98
GS3,2.06
GS3,1.75
GS3,1.51
GS3,1.93
GS3,2.44
GS3,2.23
GS3,2.26
GS3,2.45
GS3,2.44
GS3,2.27
GS3,2.25
GS3,2
GS3,2.57
GS3,3.1
GS3,3.26
GS3,3.05
GS3,2.88
GS3,2.83
GS3,2.85
GS3,3.09
GS3,3.21
GS3,3.39
GS3,3.54
GS3,3.91
GS3,3.79
GS3,3.72
GS3,3.69
GS3,3.91
GS3,4.08
GS3,3.96
GS3,4.29
GS3,4.43
GS3,4.39
GS3,4.35
GS3,4.64
GS3,4.74
GS3,4.89
GS3,4.97
GS3,5.09
GS3,5.07
GS3,4.85
GS3,4.69
GS3,4.72
GS3,4.64
GS3,4.58
GS3,4.79
GS3,4.75
GS3,4.51
GS3,4.6
GS3,4.69
GS3,5
GS3,4.82
GS3,4.34
GS3,4.06
GS3,4.01
GS3,3.35
GS3,3.13
GS3,2.51
GS3,2.19
GS3,1.8
GS3,2.23
GS3,2.69
GS3,3.08
GS3,2.87
GS3,2.7
GS3,2.32
GS3,1.86
GS3,1.51
GS3,1.07
GS3,1.13
GS3,1.37
GS3,1.31
GS3,1.32
GS3,1.39
GS3,1.76
GS3,1.55
GS3,1.65
GS3,1.48
GS3,1.46
GS3,1.32
GS3,1.38
GS3,1.49
GS3,1.4
GS3,1.51
GS3,1.64
GS3,1.32
GS3,1.17
GS3,0.98
GS3,0.78
GS3,0.74
GS3,0.57
GS3,0.67
GS3,0.99
GS3,1.03
GS3,1.28
GS3,1.17
GS3,1.21
GS3,0.94
GS3,0.71
GS3,0.68
GS3,0.38
GS3,0.35
GS3,0.47
GS3,0.39
GS3,0.39
GS3,0.36
GS3,0.38
GS3,0.51
GS3,0.43
GS3,0.39
GS3,0.39
GS3,0.33
GS3,0.37
GS3,0.34
GS3,0.37
GS3,0.36
GS3,0.35
