"DATE","tenor","rate"
2007-01-01,"GS3",4.79
2007-02-01,"GS3",4.75
2007-03-01,"GS3",4.51
2007-04-01,"GS3",4.6
2007-05-01,"GS3",4.69
2007-06-01,"GS3",5
2007-07-01,"GS3",4.82
2007-08-01,"GS3",4.34
2007-09-01,"GS3",4.06
2007-10-01,"GS3",4.01
2007-11-01,"GS3",3.35
2007-12-01,"GS3",3.13
2008-01-01,"GS3",2.51
2008-02-01,"GS3",2.19
2008-03-01,"GS3",1.8
2008-04-01,"GS3",2.23
2008-05-01,"GS3",2.69
2008-06-01,"GS3",3.08
2008-07-01,"GS3",2.87
2008-08-01,"GS3",2.7
2008-09-01,"GS3",2.32
2008-10-01,"GS3",1.86
2008-11-01,"GS3",1.51
2008-12-01,"GS3",1.07
2009-01-01,"GS3",1.13
2009-02-01,"GS3",1.37
2009-03-01,"GS3",1.31
2009-04-01,"GS3",1.32
2009-05-01,"GS3",1.39
2009-06-01,"GS3",1.76
2009-07-01,"GS3",1.55
2009-08-01,"GS3",1.65
2009-09-01,"GS3",1.48
2009-10-01,"GS3",1.46
2009-11-01,"GS3",1.32
2009-12-01,"GS3",1.38
2007-01-01,"GS30",4.85
2007-02-01,"GS30",4.82
2007-03-01,"GS30",4.72
2007-04-01,"GS30",4.87
2007-05-01,"GS30",4.9
2007-06-01,"GS30",5.2
2007-07-01,"GS30",5.11
2007-08-01,"GS30",4.93
2007-09-01,"GS30",4.79
2007-10-01,"GS30",4.77
2007-11-01,"GS30",4.52
2007-12-01,"GS30",4.53
2008-01-01,"GS30",4.33
2008-02-01,"GS30",4.52
2008-03-01,"GS30",4.39
2008-04-01,"GS30",4.44
2008-05-01,"GS30",4.6
2008-06-01,"GS30",4.69
2008-07-01,"GS30",4.57
2008-08-01,"GS30",4.5
2008-09-01,"GS30",4.27
2008-10-01,"GS30",4.17
2008-11-01,"GS30",4
2008-12-01,"GS30",2.87
2009-01-01,"GS30",3.13
2009-02-01,"GS30",3.59
2009-03-01,"GS30",3.64
2009-04-01,"GS30",3.76
2009-05-01,"GS30",4.23
2009-06-01,"GS30",4.52
2009-07-01,"GS30",4.41
2009-08-01,"GS30",4.37
2009-09-01,"GS30",4.19
2009-10-01,"GS30",4.19
2009-11-01,"GS30",4.31
2009-12-01,"GS30",4.49
2007-01-01,"GS10",4.76
2007-02-01,"GS10",4.72
2007-03-01,"GS10",4.56
2007-04-01,"GS10",4.69
2007-05-01,"GS10",4.75
2007-06-01,"GS10",5.1
2007-07-01,"GS10",5
2007-08-01,"GS10",4.67
2007-09-01,"GS10",4.52
2007-10-01,"GS10",4.53
2007-11-01,"GS10",4.15
2007-12-01,"GS10",4.1
2008-01-01,"GS10",3.74
2008-02-01,"GS10",3.74
2008-03-01,"GS10",3.51
2008-04-01,"GS10",3.68
2008-05-01,"GS10",3.88
2008-06-01,"GS10",4.1
2008-07-01,"GS10",4.01
2008-08-01,"GS10",3.89
2008-09-01,"GS10",3.69
2008-10-01,"GS10",3.81
2008-11-01,"GS10",3.53
2008-12-01,"GS10",2.42
2009-01-01,"GS10",2.52
2009-02-01,"GS10",2.87
2009-03-01,"GS10",2.82
2009-04-01,"GS10",2.93
2009-05-01,"GS10",3.29
2009-06-01,"GS10",3.72
2009-07-01,"GS10",3.56
2009-08-01,"GS10",3.59
2009-09-01,"GS10",3.4
2009-10-01,"GS10",3.39
2009-11-01,"GS10",3.4
2009-12-01,"GS10",3.59
2007-01-01,"UNRATE",4.6
2007-02-01,"UNRATE",4.5
2007-03-01,"UNRATE",4.4
2007-04-01,"UNRATE",4.5
2007-05-01,"UNRATE",4.4
2007-06-01,"UNRATE",4.6
2007-07-01,"UNRATE",4.7
2007-08-01,"UNRATE",4.6
2007-09-01,"UNRATE",4.7
2007-10-01,"UNRATE",4.7
2007-11-01,"UNRATE",4.7
2007-12-01,"UNRATE",5
2008-01-01,"UNRATE",5
2008-02-01,"UNRATE",4.9
2008-03-01,"UNRATE",5.1
2008-04-01,"UNRATE",5
2008-05-01,"UNRATE",5.4
2008-06-01,"UNRATE",5.6
2008-07-01,"UNRATE",5.8
2008-08-01,"UNRATE",6.1
2008-09-01,"UNRATE",6.1
2008-10-01,"UNRATE",6.5
2008-11-01,"UNRATE",6.8
2008-12-01,"UNRATE",7.3
2009-01-01,"UNRATE",7.8
2009-02-01,"UNRATE",8.3
2009-03-01,"UNRATE",8.7
2009-04-01,"UNRATE",9
2009-05-01,"UNRATE",9.4
2009-06-01,"UNRATE",9.5
2009-07-01,"UNRATE",9.5
2009-08-01,"UNRATE",9.6
2009-09-01,"UNRATE",9.8
2009-10-01,"UNRATE",10
2009-11-01,"UNRATE",9.9
2009-12-01,"UNRATE",9.9
