"date","company","value"
"2007-01-03","Pfizer",26.29
"2007-01-04","Pfizer",26.38
"2007-01-05","Pfizer",26.3
"2007-01-08","Pfizer",26.16
"2007-01-09","Pfizer",26.17
"2007-01-10","Pfizer",26.2
"2007-01-11","Pfizer",26.46
"2007-01-12","Pfizer",26.64
"2007-01-16","Pfizer",26.77
"2007-01-17","Pfizer",26.89
"2007-01-18","Pfizer",27.17
"2007-01-19","Pfizer",27.22
"2007-01-22","Pfizer",26.95
"2007-01-23","Pfizer",26.37
"2007-01-24","Pfizer",26.82
"2007-01-25","Pfizer",26.36
"2007-01-26","Pfizer",26.29
"2007-01-29","Pfizer",26.06
"2007-01-30","Pfizer",26.1
"2007-01-31","Pfizer",26.24
"2007-02-01","Pfizer",26.62
"2007-02-02","Pfizer",26.8
"2007-02-05","Pfizer",26.88
"2007-02-06","Pfizer",26.83
"2007-02-07","Pfizer",26.52
"2007-02-08","Pfizer",26.44
"2007-02-09","Pfizer",26.38
"2007-02-12","Pfizer",26.22
"2007-02-13","Pfizer",26.39
"2007-02-14","Pfizer",26.58
"2007-02-15","Pfizer",26.53
"2007-02-16","Pfizer",26.3
"2007-02-20","Pfizer",26.3
"2007-02-21","Pfizer",26.07
"2007-02-22","Pfizer",25.87
"2007-02-23","Pfizer",25.62
"2007-02-26","Pfizer",25.84
"2007-02-27","Pfizer",25.14
"2007-02-28","Pfizer",24.96
"2007-03-01","Pfizer",25.04
"2007-03-02","Pfizer",24.79
"2007-03-05","Pfizer",24.7
"2007-03-06","Pfizer",25.19
"2007-03-07","Pfizer",25.27
"2007-03-08","Pfizer",25.41
"2007-03-09","Pfizer",25.41
"2007-03-12","Pfizer",25.38
"2007-03-13","Pfizer",24.94
"2007-03-14","Pfizer",24.86
"2007-03-15","Pfizer",24.99
"2007-03-16","Pfizer",24.99
"2007-03-19","Pfizer",25.36
"2007-03-20","Pfizer",25.54
"2007-03-21","Pfizer",25.85
"2007-03-22","Pfizer",25.79
"2007-03-23","Pfizer",25.66
"2007-03-26","Pfizer",25.67
"2007-03-27","Pfizer",25.49
"2007-03-28","Pfizer",25.18
"2007-03-29","Pfizer",25.41
"2007-03-30","Pfizer",25.26
"2007-04-02","Pfizer",25.34
"2007-04-03","Pfizer",25.67
"2007-04-04","Pfizer",25.81
"2007-04-05","Pfizer",25.84
"2007-04-09","Pfizer",26
"2007-04-10","Pfizer",26
"2007-04-11","Pfizer",26.04
"2007-04-12","Pfizer",26.46
"2007-04-13","Pfizer",26.67
"2007-04-16","Pfizer",26.94
"2007-04-17","Pfizer",26.9
"2007-04-18","Pfizer",26.78
"2007-04-19","Pfizer",27.07
"2007-04-20","Pfizer",26.97
"2007-04-23","Pfizer",26.35
"2007-04-24","Pfizer",26.15
"2007-04-25","Pfizer",26.32
"2007-04-26","Pfizer",26.72
"2007-04-27","Pfizer",26.61
"2007-04-30","Pfizer",26.46
"2007-05-01","Pfizer",26.59
"2007-05-02","Pfizer",26.6
"2007-05-03","Pfizer",26.87
"2007-05-04","Pfizer",27.08
"2007-05-07","Pfizer",27.38
"2007-05-08","Pfizer",27.35
"2007-05-09","Pfizer",27.16
"2007-05-10","Pfizer",26.8
"2007-05-11","Pfizer",27.04
"2007-05-14","Pfizer",27.23
"2007-05-15","Pfizer",27.1
"2007-05-16","Pfizer",27.32
"2007-05-17","Pfizer",27.36
"2007-05-18","Pfizer",27.44
"2007-05-21","Pfizer",27.42
"2007-05-22","Pfizer",27.37
"2007-05-23","Pfizer",27.34
"2007-05-24","Pfizer",27.28
"2007-05-25","Pfizer",27.53
"2007-05-29","Pfizer",27.56
"2007-05-30","Pfizer",27.41
"2007-05-31","Pfizer",27.49
"2007-06-01","Pfizer",27.68
"2007-06-04","Pfizer",27.52
"2007-06-05","Pfizer",27.28
"2007-06-06","Pfizer",26.79
"2007-06-07","Pfizer",26.29
"2007-06-08","Pfizer",26.52
"2007-06-11","Pfizer",26.37
"2007-06-12","Pfizer",26.11
"2007-06-13","Pfizer",26.35
"2007-06-14","Pfizer",26.39
"2007-06-15","Pfizer",26.47
"2007-06-18","Pfizer",26.26
"2007-06-19","Pfizer",26.21
"2007-06-20","Pfizer",25.71
"2007-06-21","Pfizer",25.92
"2007-06-22","Pfizer",25.38
"2007-06-25","Pfizer",25.4
"2007-06-26","Pfizer",25.59
"2007-06-27","Pfizer",25.61
"2007-06-28","Pfizer",25.63
"2007-06-29","Pfizer",25.57
"2007-07-02","Pfizer",25.73
"2007-07-03","Pfizer",25.81
"2007-07-05","Pfizer",25.9
"2007-07-06","Pfizer",25.92
"2007-07-09","Pfizer",25.88
"2007-07-10","Pfizer",25.58
"2007-07-11","Pfizer",25.45
"2007-07-12","Pfizer",25.98
"2007-07-13","Pfizer",25.91
"2007-07-16","Pfizer",26.08
