DATE,measurement,value
2/1/1977,GS1,5.47
3/1/1977,GS1,5.5
4/1/1977,GS1,5.44
5/1/1977,GS1,5.84
6/1/1977,GS1,5.8
7/1/1977,GS1,5.94
8/1/1977,GS1,6.37
9/1/1977,GS1,6.53
10/1/1977,GS1,6.97
11/1/1977,GS1,6.95
12/1/1977,GS1,6.96
1/1/1978,GS1,7.28
2/1/1978,GS1,7.34
3/1/1978,GS1,7.31
4/1/1978,GS1,7.45
5/1/1978,GS1,7.82
6/1/1978,GS1,8.09
7/1/1978,GS1,8.39
8/1/1978,GS1,8.31
9/1/1978,GS1,8.64
10/1/1978,GS1,9.14
11/1/1978,GS1,10.01
12/1/1978,GS1,10.3
1/1/1979,GS1,10.41
2/1/1979,GS1,10.24
3/1/1979,GS1,10.25
4/1/1979,GS1,10.12
5/1/1979,GS1,10.12
6/1/1979,GS1,9.57
7/1/1979,GS1,9.64
8/1/1979,GS1,9.98
9/1/1979,GS1,10.84
10/1/1979,GS1,12.44
11/1/1979,GS1,12.39
12/1/1979,GS1,11.98
1/1/1980,GS1,12.06
2/1/1980,GS1,13.92
3/1/1980,GS1,15.82
4/1/1980,GS1,13.3
5/1/1980,GS1,9.39
6/1/1980,GS1,8.16
7/1/1980,GS1,8.65
8/1/1980,GS1,10.24
9/1/1980,GS1,11.52
10/1/1980,GS1,12.49
11/1/1980,GS1,14.15
12/1/1980,GS1,14.88
1/1/1981,GS1,14.08
2/1/1981,GS1,14.57
3/1/1981,GS1,13.71
4/1/1981,GS1,14.32
5/1/1981,GS1,16.2
6/1/1981,GS1,14.86
7/1/1981,GS1,15.72
8/1/1981,GS1,16.72
9/1/1981,GS1,16.52
10/1/1981,GS1,15.38
11/1/1981,GS1,12.41
12/1/1981,GS1,12.85
1/1/1982,GS1,14.32
2/1/1982,GS1,14.73
3/1/1982,GS1,13.95
4/1/1982,GS1,13.98
5/1/1982,GS1,13.34
6/1/1982,GS1,14.07
7/1/1982,GS1,13.24
8/1/1982,GS1,11.43
9/1/1982,GS1,10.85
10/1/1982,GS1,9.32
11/1/1982,GS1,9.16
12/1/1982,GS1,8.91
1/1/1983,GS1,8.62
2/1/1983,GS1,8.92
3/1/1983,GS1,9.04
4/1/1983,GS1,8.98
5/1/1983,GS1,8.9
6/1/1983,GS1,9.66
7/1/1983,GS1,10.2
8/1/1983,GS1,10.53
9/1/1983,GS1,10.16
10/1/1983,GS1,9.81
11/1/1983,GS1,9.94
12/1/1983,GS1,10.11
1/1/1984,GS1,9.9
2/1/1984,GS1,10.04
3/1/1984,GS1,10.59
4/1/1984,GS1,10.9
5/1/1984,GS1,11.66
6/1/1984,GS1,12.08
7/1/1984,GS1,12.03
8/1/1984,GS1,11.82
9/1/1984,GS1,11.58
10/1/1984,GS1,10.9
11/1/1984,GS1,9.82
12/1/1984,GS1,9.33
1/1/1985,GS1,9.02
2/1/1985,GS1,9.29
3/1/1985,GS1,9.86
4/1/1985,GS1,9.14
5/1/1985,GS1,8.46
6/1/1985,GS1,7.8
7/1/1985,GS1,7.86
8/1/1985,GS1,8.05
9/1/1985,GS1,8.07
10/1/1985,GS1,8.01
11/1/1985,GS1,7.88
12/1/1985,GS1,7.67
1/1/1986,GS1,7.73
2/1/1986,GS1,7.61
3/1/1986,GS1,7.03
4/1/1986,GS1,6.44
5/1/1986,GS1,6.65
6/1/1986,GS1,6.73
7/1/1986,GS1,6.27
8/1/1986,GS1,5.93
9/1/1986,GS1,5.77
10/1/1986,GS1,5.72
11/1/1986,GS1,5.8
12/1/1986,GS1,5.87
1/1/1987,GS1,5.78
2/1/1987,GS1,5.96
3/1/1987,GS1,6.03
4/1/1987,GS1,6.5
5/1/1987,GS1,7
6/1/1987,GS1,6.8
7/1/1987,GS1,6.68
8/1/1987,GS1,7.03
9/1/1987,GS1,7.67
10/1/1987,GS1,7.59
11/1/1987,GS1,6.96
12/1/1987,GS1,7.17
1/1/1988,GS1,6.99
2/1/1988,GS1,6.64
3/1/1988,GS1,6.71
4/1/1988,GS1,7.01
5/1/1988,GS1,7.4
6/1/1988,GS1,7.49
7/1/1988,GS1,7.75
8/1/1988,GS1,8.17
9/1/1988,GS1,8.09
10/1/1988,GS1,8.11
11/1/1988,GS1,8.48
12/1/1988,GS1,8.99
1/1/1989,GS1,9.05
2/1/1989,GS1,9.25
3/1/1989,GS1,9.57
4/1/1989,GS1,9.36
5/1/1989,GS1,8.98
6/1/1989,GS1,8.44
7/1/1989,GS1,7.89
8/1/1989,GS1,8.18
9/1/1989,GS1,8.22
10/1/1989,GS1,7.99
11/1/1989,GS1,7.77
12/1/1989,GS1,7.72
1/1/1990,GS1,7.92
2/1/1990,GS1,8.11
3/1/1990,GS1,8.35
4/1/1990,GS1,8.4
5/1/1990,GS1,8.32
6/1/1990,GS1,8.1
7/1/1990,GS1,7.94
8/1/1990,GS1,7.78
9/1/1990,GS1,7.76
10/1/1990,GS1,7.55
11/1/1990,GS1,7.31
12/1/1990,GS1,7.05
1/1/1991,GS1,6.64
2/1/1991,GS1,6.27
3/1/1991,GS1,6.4
4/1/1991,GS1,6.24
5/1/1991,GS1,6.13
6/1/1991,GS1,6.36
7/1/1991,GS1,6.31
8/1/1991,GS1,5.78
9/1/1991,GS1,5.57
10/1/1991,GS1,5.33
11/1/1991,GS1,4.89
12/1/1991,GS1,4.38
1/1/1992,GS1,4.15
2/1/1992,GS1,4.29
3/1/1992,GS1,4.63
4/1/1992,GS1,4.3
5/1/1992,GS1,4.19
6/1/1992,GS1,4.17
7/1/1992,GS1,3.6
8/1/1992,GS1,3.47
9/1/1992,GS1,3.18
10/1/1992,GS1,3.3
11/1/1992,GS1,3.68
12/1/1992,GS1,3.71
1/1/1993,GS1,3.5
2/1/1993,GS1,3.39
3/1/1993,GS1,3.33
4/1/1993,GS1,3.24
5/1/1993,GS1,3.36
6/1/1993,GS1,3.54
7/1/1993,GS1,3.47
8/1/1993,GS1,3.44
9/1/1993,GS1,3.36
10/1/1993,GS1,3.39
11/1/1993,GS1,3.58
12/1/1993,GS1,3.61
1/1/1994,GS1,3.54
2/1/1994,GS1,3.87
3/1/1994,GS1,4.32
4/1/1994,GS1,4.82
5/1/1994,GS1,5.31
6/1/1994,GS1,5.27
7/1/1994,GS1,5.48
8/1/1994,GS1,5.56
9/1/1994,GS1,5.76
10/1/1994,GS1,6.11
11/1/1994,GS1,6.54
12/1/1994,GS1,7.14
1/1/1995,GS1,7.05
2/1/1995,GS1,6.7
3/1/1995,GS1,6.43
4/1/1995,GS1,6.27
5/1/1995,GS1,6
6/1/1995,GS1,5.64
7/1/1995,GS1,5.59
