"","PUMA00","PUMA10","ADJINC","AGEP","CIT","COW","ENG","FER","INTP","JWMNP","LANX","MAR","MIG","NWAB","NWAV","NWLA","NWLK","NWRE","OIP","PAP","RETP","SCH","SCHL","SEMP","SEX","SSIP","SSP","WAGP","WKHP","ANC1P05","ANC1P12","DECADE","DIS","ESR","FOD1P","HICOV","NATIVITY","NOP","OCCP10","OCCP12","PERNP","PINCP","POBP05","POBP12","PRIVCOV","PUBCOV","RAC1P","SCIENGP","WAOB","FENGP","PWGTP"
"1",-9,3706,1024037,48,4,1,2,2,0,20,1,3,1,3,5,3,3,3,0,0,0,1,16,0,2,0,0,23000,40,-9,210,5,2,1,NA,2,2,NA,"N.A.","4010",23000,23000,-9,303,2,2,8,NA,3,0,15
"2",-9,3750,1024037,33,5,1,4,NA,0,45,1,5,1,3,5,3,3,3,0,0,0,1,12,0,1,0,0,15000,40,-9,226,6,2,1,NA,2,2,NA,"N.A.","5240",15000,15000,-9,312,2,2,1,NA,3,0,22
"3",-9,3703,1024037,42,4,3,1,2,0,20,1,5,1,3,5,3,3,3,0,0,0,1,19,0,2,0,0,38000,40,-9,226,5,2,1,NA,1,2,NA,"N.A.","2016",38000,38000,-9,312,1,2,1,NA,3,0,7
"4",-9,3761,1008425,30,1,1,NA,NA,0,20,2,5,1,3,5,3,3,3,0,0,0,1,21,0,1,0,0,25200,60,-9,46,NA,2,1,4801,2,1,NA,"N.A.","9620",25200,25200,-9,6,2,2,1,2,1,0,53
"5",2900,-9,1094136,21,1,1,NA,2,0,NA,2,5,1,3,5,3,3,3,0,0,0,2,16,0,2,0,0,5000,30,924,-9,NA,2,6,NA,1,1,NA,"5820","N.A.",5000,5000,6,-9,1,2,1,NA,1,0,10
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",-9,7307,1008425,61,1,1,NA,NA,0,50,2,1,1,3,5,3,3,3,0,0,0,1,21,0,2,0,0,93000,45,-9,50,NA,2,1,6203,1,1,NA,"N.A.","0430",93000,93000,-9,36,1,2,9,2,1,0,19
"8",2203,-9,1094136,39,1,1,NA,2,170,20,2,5,1,3,5,3,3,3,0,0,0,1,21,0,2,0,0,115000,55,924,-9,NA,2,1,3604,1,1,NA,"0020","N.A.",115000,115170,6,-9,1,2,1,1,1,0,18
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",4407,-9,1071861,48,4,7,1,NA,0,65,1,1,1,3,5,3,3,3,0,0,0,1,15,0,1,0,0,30500,8,224,-9,5,2,1,NA,2,2,NA,"7210","N.A.",30500,30500,315,-9,2,2,8,NA,3,0,50
"11",-9,7113,1008425,40,5,1,3,2,0,20,1,5,1,3,5,3,3,3,0,0,0,1,13,0,2,0,0,800,20,-9,210,6,2,1,NA,1,2,NA,"N.A.","9620",800,800,-9,303,2,1,8,NA,3,0,43
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",-9,7105,1008425,30,1,3,1,NA,0,30,1,5,1,3,5,3,3,3,0,0,0,1,20,0,1,0,0,55000,40,-9,210,NA,2,1,NA,1,1,NA,"N.A.","1410",55000,55000,-9,6,1,2,8,NA,1,0,32
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",-9,1902,1041654,46,1,1,NA,NA,1500,90,2,1,3,3,5,3,3,3,0,0,0,1,21,0,1,0,0,120000,80,-9,32,NA,2,1,5503,1,1,NA,"N.A.","0010",120000,121500,-9,48,1,2,1,1,1,0,22
"16",-9,7307,1008425,22,1,1,NA,NA,0,3,2,5,1,3,5,3,3,3,0,0,0,1,17,0,1,0,0,5000,35,-9,740,NA,2,1,NA,2,1,NA,"N.A.","4720",5000,5000,-9,6,2,2,9,NA,1,0,25
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",-9,3747,1041654,34,1,3,NA,2,95000,NA,2,5,1,3,5,3,3,3,0,0,0,1,22,0,2,0,0,0,NA,-9,902,NA,2,6,6402,1,1,NA,"N.A.","4610",0,95000,-9,6,1,2,2,2,1,0,16
"19",1000,-9,1094136,42,1,1,NA,NA,0,5,2,1,1,3,5,3,3,3,0,0,0,1,21,0,1,0,0,60000,40,89,-9,NA,2,1,1901,1,1,NA,"0140","N.A.",60000,60000,8,-9,1,2,1,2,1,0,20
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",-9,10703,1008425,21,1,1,NA,NA,0,10,2,5,1,3,5,3,3,3,0,0,0,2,19,0,1,0,0,6000,3,-9,706,NA,1,1,NA,1,1,NA,"N.A.","5860",6000,6000,-9,6,1,2,9,NA,1,0,14
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",-9,3725,1041654,23,5,NA,1,2,0,NA,1,1,1,2,3,2,2,3,0,0,0,1,16,0,2,0,0,0,NA,-9,720,7,2,6,NA,1,2,NA,"","",0,0,-9,233,1,2,6,NA,4,0,11
"25",-9,7309,1024037,57,1,6,NA,NA,0,30,2,1,1,3,5,3,3,3,0,0,0,1,22,54000,2,0,0,0,35,-9,190,NA,1,1,5200,1,1,NA,"N.A.","3230",54000,54000,-9,42,1,2,1,1,1,0,37
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",-9,5910,1024037,34,1,3,NA,NA,5000,NA,2,1,1,2,1,2,3,1,0,0,0,1,22,0,1,0,0,68000,50,-9,924,NA,2,6,2602,1,1,NA,"N.A.","2310",68000,73000,-9,6,1,2,1,2,1,0,11
"28",-9,7106,1024037,47,1,NA,NA,2,24000,NA,2,1,1,2,5,2,2,3,0,0,0,1,21,0,2,0,0,0,NA,-9,32,NA,2,6,6107,1,1,NA,"","",0,24000,-9,6,1,2,1,2,1,0,10
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",-9,7302,1008425,23,1,1,1,NA,0,6,1,5,1,3,5,3,3,3,0,0,0,1,16,0,1,0,0,5000,24,-9,999,NA,2,1,NA,1,1,NA,"N.A.","4020",5000,5000,-9,6,1,2,8,NA,1,1,101
"32",8115,-9,1094136,20,1,NA,2,NA,0,NA,1,5,1,2,5,2,2,3,0,0,0,2,19,0,1,0,0,0,NA,210,-9,NA,2,6,NA,2,1,NA,"","",0,0,15,-9,2,2,1,NA,1,0,65
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",-9,5303,1041654,40,4,1,1,NA,0,90,1,1,1,3,5,3,3,3,0,0,0,1,20,0,1,0,0,40000,84,-9,210,4,2,1,NA,1,2,NA,"N.A.","7630",40000,40000,-9,303,1,2,1,NA,3,0,12
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",-9,3731,1024037,62,3,9,3,NA,0,NA,1,1,1,2,1,2,1,3,0,0,0,1,22,0,1,0,0,0,NA,-9,416,6,1,3,6200,2,1,NA,"N.A.","9920",0,0,-9,212,2,2,1,2,4,0,64
"40",4401,-9,1094136,56,1,1,NA,NA,0,NA,2,1,1,2,5,2,2,3,8000,0,0,1,18,0,2,0,0,0,NA,22,-9,NA,2,6,NA,2,1,NA,"4965","N.A.",0,8000,55,-9,2,2,1,NA,1,0,15
"41",-9,3755,1024037,36,4,1,2,NA,0,40,1,1,3,3,5,3,3,3,0,0,0,1,13,0,1,0,0,70000,40,-9,210,6,2,1,NA,1,2,NA,"N.A.","6230",70000,70000,-9,303,1,2,1,NA,3,0,7
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
