puma12,county
00101,Alameda 
00102,Alameda 
00103,Alameda 
00104,Alameda 
00105,Alameda 
00106,Alameda 
00107,Alameda 
00108,Alameda 
00109,Alameda 
00110,Alameda 
00300,Alpine 
00300,Amador 
00300,Calaveras 
00300,Inyo 
00300,Mariposa 
00300,Mono 
00300,Tuolumne 
00701,Butte 
00702,Butte 
01100,Colusa 
01100,Glenn 
01100,Tehama 
01100,Trinity 
01301,Contra Costa 
01302,Contra Costa 
01303,Contra Costa 
01304,Contra Costa 
01305,Contra Costa 
01306,Contra Costa 
01307,Contra Costa 
01308,Contra Costa 
01309,Contra Costa 
01500,Del Norte 
01500,Lassen 
01500,Modoc 
01500,Plumas 
01500,Siskiyou 
01700,El Dorado 
01901,Fresno 
01902,Fresno 
01903,Fresno 
01904,Fresno 
01905,Fresno 
01906,Fresno 
01907,Fresno 
02300,Humboldt 
02500,Imperial 
02901,Kern 
02902,Kern 
02903,Kern 
02904,Kern 
02905,Kern 
03100,Kings 
03300,Lake 
03300,Mendocino 
03701,Los Angeles 
03702,Los Angeles 
03703,Los Angeles 
03704,Los Angeles 
03705,Los Angeles 
03706,Los Angeles 
03707,Los Angeles 
03708,Los Angeles 
03709,Los Angeles 
03710,Los Angeles 
03711,Los Angeles 
03712,Los Angeles 
03713,Los Angeles 
03714,Los Angeles 
03715,Los Angeles 
03716,Los Angeles 
03717,Los Angeles 
03718,Los Angeles 
03719,Los Angeles 
03720,Los Angeles 
03721,Los Angeles 
03722,Los Angeles 
03723,Los Angeles 
03724,Los Angeles 
03725,Los Angeles 
03726,Los Angeles 
03727,Los Angeles 
03728,Los Angeles 
03729,Los Angeles 
03730,Los Angeles 
03731,Los Angeles 
03732,Los Angeles 
03733,Los Angeles 
03734,Los Angeles 
03735,Los Angeles 
03736,Los Angeles 
03737,Los Angeles 
03738,Los Angeles 
03739,Los Angeles 
03740,Los Angeles 
03741,Los Angeles 
03742,Los Angeles 
03743,Los Angeles 
03744,Los Angeles 
03745,Los Angeles 
03746,Los Angeles 
03747,Los Angeles 
03748,Los Angeles 
03749,Los Angeles 
03750,Los Angeles 
03751,Los Angeles 
03752,Los Angeles 
03753,Los Angeles 
03754,Los Angeles 
03755,Los Angeles 
03756,Los Angeles 
03757,Los Angeles 
03758,Los Angeles 
03759,Los Angeles 
03760,Los Angeles 
03761,Los Angeles 
03762,Los Angeles 
03763,Los Angeles 
03764,Los Angeles 
03765,Los Angeles 
03766,Los Angeles 
03767,Los Angeles 
03768,Los Angeles 
03769,Los Angeles 
03900,Madera 
04101,Marin 
04102,Marin 
04701,Merced 
04702,Merced 
05301,Monterey 
05302,Monterey 
05303,Monterey 
05303,San Benito 
05500,Napa 
05700,Nevada 
05700,Sierra 
05901,Orange 
05902,Orange 
05903,Orange 
05904,Orange 
05905,Orange 
05906,Orange 
05907,Orange 
05908,Orange 
05909,Orange 
05910,Orange 
05911,Orange 
05912,Orange 
05913,Orange 
05914,Orange 
05915,Orange 
05916,Orange 
05917,Orange 
05918,Orange 
06101,Placer 
06102,Placer 
06103,Placer 
06501,Riverside 
06502,Riverside 
06503,Riverside 
06504,Riverside 
06505,Riverside 
06506,Riverside 
06507,Riverside 
06508,Riverside 
06509,Riverside 
06510,Riverside 
06511,Riverside 
06512,Riverside 
06513,Riverside 
06514,Riverside 
06515,Riverside 
06701,Sacramento 
06702,Sacramento 
06703,Sacramento 
06704,Sacramento 
06705,Sacramento 
06706,Sacramento 
06707,Sacramento 
06708,Sacramento 
06709,Sacramento 
06710,Sacramento 
06711,Sacramento 
06712,Sacramento 
07101,San Bernardino 
07102,San Bernardino 
07103,San Bernardino 
07104,San Bernardino 
07105,San Bernardino 
07106,San Bernardino 
07107,San Bernardino 
07108,San Bernardino 
07109,San Bernardino 
07110,San Bernardino 
07111,San Bernardino 
07112,San Bernardino 
07113,San Bernardino 
07114,San Bernardino 
07115,San Bernardino 
07301,San Diego 
07302,San Diego 
07303,San Diego 
07304,San Diego 
07305,San Diego 
07306,San Diego 
07307,San Diego 
07308,San Diego 
07309,San Diego 
07310,San Diego 
07311,San Diego 
07312,San Diego 
07313,San Diego 
07314,San Diego 
07315,San Diego 
07316,San Diego 
07317,San Diego 
07318,San Diego 
07319,San Diego 
07320,San Diego 
07321,San Diego 
07322,San Diego 
07501,San Francisco 
07502,San Francisco 
07503,San Francisco 
07504,San Francisco 
07505,San Francisco 
07506,San Francisco 
07507,San Francisco 
07701,San Joaquin 
07702,San Joaquin 
07703,San Joaquin 
07704,San Joaquin 
07901,San Luis Obispo 
07902,San Luis Obispo 
08101,San Mateo 
08102,San Mateo 
08103,San Mateo 
08104,San Mateo 
08105,San Mateo 
08106,San Mateo 
08301,Santa Barbara 
08302,Santa Barbara 
08303,Santa Barbara 
08501,Santa Clara 
08502,Santa Clara 
08503,Santa Clara 
08504,Santa Clara 
08505,Santa Clara 
08506,Santa Clara 
08507,Santa Clara 
08508,Santa Clara 
08509,Santa Clara 
08510,Santa Clara 
08511,Santa Clara 
08512,Santa Clara 
08513,Santa Clara 
08514,Santa Clara 
08701,Santa Cruz 
08702,Santa Cruz 
08900,Shasta 
09501,Solano 
09502,Solano 
09503,Solano 
09701,Sonoma 
09702,Sonoma 
09703,Sonoma 
09901,Stanislaus 
09902,Stanislaus 
09903,Stanislaus 
09904,Stanislaus 
10100,Sutter 
10100,Yuba 
10701,Tulare 
10702,Tulare 
10703,Tulare 
11101,Ventura 
11102,Ventura 
11103,Ventura 
11104,Ventura 
11105,Ventura 
11106,Ventura 
11300,Yolo 
